target,slice_point,oversampled,model_name,model
3,2.20,False,RandomForest,reg2
3,2.25,False,RandomForest,reg2
3,2.30,False,RandomForest,reg2
3,2.35,False,RandomForest,reg2
3,2.40,False,RandomForest,reg2
3,2.45,False,RandomForest,reg2
3,1.55,False,HistGradientBoosting,reg1
3,1.60,False,HistGradientBoosting,reg1
3,1.65,False,HistGradientBoosting,reg1
3,1.70,False,HistGradientBoosting,reg1
3,1.75,False,HistGradientBoosting,reg1
3,1.80,False,HistGradientBoosting,reg1
3,1.85,False,HistGradientBoosting,reg1
3,1.90,False,HistGradientBoosting,reg1
3,1.95,False,HistGradientBoosting,reg1
3,2.00,False,HistGradientBoosting,reg1
3,2.05,False,HistGradientBoosting,reg1
3,2.10,False,HistGradientBoosting,reg1
3,2.15,False,HistGradientBoosting,reg1
3,2.20,False,HistGradientBoosting,reg1
3,2.25,False,HistGradientBoosting,reg1
3,2.30,False,HistGradientBoosting,reg1
3,2.35,False,HistGradientBoosting,reg1
3,2.40,False,HistGradientBoosting,reg1
3,2.45,False,HistGradientBoosting,reg1
3,0.55,True,HistGradientBoosting,clf
3,0.60,True,HistGradientBoosting,clf
3,0.65,True,HistGradientBoosting,clf
3,0.70,True,HistGradientBoosting,clf
3,0.75,True,HistGradientBoosting,clf
3,0.80,True,HistGradientBoosting,clf
3,0.85,True,HistGradientBoosting,clf
3,0.90,True,HistGradientBoosting,clf
3,0.95,True,HistGradientBoosting,clf
3,1.00,True,HistGradientBoosting,clf
3,1.05,True,HistGradientBoosting,clf
3,1.10,True,HistGradientBoosting,clf
3,1.15,True,HistGradientBoosting,clf
3,1.20,True,HistGradientBoosting,clf
3,1.25,True,HistGradientBoosting,clf
3,1.30,True,HistGradientBoosting,clf
3,1.35,True,HistGradientBoosting,clf
3,1.40,True,HistGradientBoosting,clf
3,1.45,True,HistGradientBoosting,clf
3,0.55,True,HistGradientBoosting,reg1
3,0.60,True,HistGradientBoosting,reg1
3,0.65,True,HistGradientBoosting,reg1
3,0.70,True,HistGradientBoosting,reg1
3,0.75,True,HistGradientBoosting,reg1
3,0.80,True,HistGradientBoosting,reg1
3,0.85,True,HistGradientBoosting,reg1
3,0.90,True,HistGradientBoosting,reg1
3,0.95,True,HistGradientBoosting,reg1
3,1.00,True,HistGradientBoosting,reg1
3,1.05,True,HistGradientBoosting,reg1
3,1.10,True,HistGradientBoosting,reg1
3,1.15,True,HistGradientBoosting,reg1
3,1.20,True,HistGradientBoosting,reg1
3,1.25,True,HistGradientBoosting,reg1
3,1.30,True,HistGradientBoosting,reg1
3,1.35,True,HistGradientBoosting,reg1
3,1.40,True,HistGradientBoosting,reg1
3,1.45,True,HistGradientBoosting,reg1
3,0.55,True,RandomForest,reg2
3,0.60,True,RandomForest,reg2
3,0.65,True,RandomForest,reg2
3,0.70,True,RandomForest,reg2
3,0.75,True,RandomForest,reg2
3,0.80,True,RandomForest,reg2
3,0.85,True,RandomForest,reg2
3,0.90,True,RandomForest,reg2
3,0.95,True,RandomForest,reg2
3,1.00,True,RandomForest,reg2
3,1.05,True,RandomForest,reg2
3,1.10,True,RandomForest,reg2
3,1.15,True,RandomForest,reg2
3,1.20,True,RandomForest,reg2
3,1.25,True,RandomForest,reg2
3,1.30,True,RandomForest,reg2
3,1.35,True,RandomForest,reg2
3,1.40,True,RandomForest,reg2
3,1.45,True,RandomForest,reg2
3,0.55,True,RandomForest,reg1
3,0.60,True,RandomForest,reg1
3,0.65,True,RandomForest,reg1
3,0.70,True,RandomForest,reg1
3,0.75,True,RandomForest,reg1
3,0.80,True,RandomForest,reg1
3,0.85,True,RandomForest,reg1
3,0.90,True,RandomForest,reg1
3,0.95,True,RandomForest,reg1
3,1.00,True,RandomForest,reg1
3,1.05,True,RandomForest,reg1
3,1.10,True,RandomForest,reg1
3,1.15,True,RandomForest,reg1
3,1.20,True,RandomForest,reg1
3,1.25,True,RandomForest,reg1
3,1.30,True,RandomForest,reg1
3,1.35,True,RandomForest,reg1
3,1.40,True,RandomForest,reg1
3,1.45,True,RandomForest,reg1
4,3.55,False,HistGradientBoosting,clf
4,3.60,False,HistGradientBoosting,clf
4,3.65,False,HistGradientBoosting,clf
4,3.70,False,HistGradientBoosting,clf
4,3.75,False,HistGradientBoosting,clf
4,3.80,False,HistGradientBoosting,clf
4,3.85,False,HistGradientBoosting,clf
4,3.90,False,HistGradientBoosting,clf
4,3.95,False,HistGradientBoosting,clf
4,4.00,False,HistGradientBoosting,clf
4,4.05,False,HistGradientBoosting,clf
4,4.10,False,HistGradientBoosting,clf
4,4.15,False,HistGradientBoosting,clf
4,4.20,False,HistGradientBoosting,clf
4,4.25,False,HistGradientBoosting,clf
4,4.30,False,HistGradientBoosting,clf
4,4.35,False,HistGradientBoosting,clf
4,4.40,False,HistGradientBoosting,clf
4,4.45,False,HistGradientBoosting,clf
4,3.55,False,RandomForest,reg1
4,3.60,False,RandomForest,reg1
4,3.65,False,RandomForest,reg1
4,3.70,False,RandomForest,reg1
4,3.75,False,RandomForest,reg1
4,3.80,False,RandomForest,reg1
4,3.85,False,RandomForest,reg1
4,3.90,False,RandomForest,reg1
4,3.95,False,RandomForest,reg1
4,4.00,False,RandomForest,reg1
4,4.05,False,RandomForest,reg1
4,4.10,False,RandomForest,reg1
4,4.15,False,RandomForest,reg1
4,4.20,False,RandomForest,reg1
4,4.25,False,RandomForest,reg1
4,4.30,False,RandomForest,reg1
4,4.35,False,RandomForest,reg1
4,4.40,False,RandomForest,reg1
4,4.45,False,RandomForest,reg1
4,3.55,False,RandomForest,reg2
4,3.60,False,RandomForest,reg2
4,3.65,False,RandomForest,reg2
4,3.70,False,RandomForest,reg2
4,3.75,False,RandomForest,reg2
4,3.80,False,RandomForest,reg2
4,3.85,False,RandomForest,reg2
4,3.90,False,RandomForest,reg2
4,3.95,False,RandomForest,reg2
4,4.00,False,RandomForest,reg2
4,4.05,False,RandomForest,reg2
4,4.10,False,RandomForest,reg2
4,4.15,False,RandomForest,reg2
4,4.20,False,RandomForest,reg2
4,4.25,False,RandomForest,reg2
4,4.30,False,RandomForest,reg2
4,4.35,False,RandomForest,reg2
4,4.40,False,RandomForest,reg2
4,4.45,False,RandomForest,reg2
4,9.05,True,HistGradientBoosting,clf
4,9.10,True,HistGradientBoosting,clf
4,9.15,True,HistGradientBoosting,clf
4,9.20,True,HistGradientBoosting,clf
4,9.25,True,HistGradientBoosting,clf
4,9.30,True,HistGradientBoosting,clf
4,9.35,True,HistGradientBoosting,clf
4,9.40,True,HistGradientBoosting,clf
4,9.45,True,HistGradientBoosting,clf
4,9.50,True,HistGradientBoosting,clf
4,9.55,True,HistGradientBoosting,clf
4,9.60,True,HistGradientBoosting,clf
4,9.65,True,HistGradientBoosting,clf
4,9.70,True,HistGradientBoosting,clf
4,9.75,True,HistGradientBoosting,clf
4,9.80,True,HistGradientBoosting,clf
4,9.85,True,HistGradientBoosting,clf
4,9.90,True,HistGradientBoosting,clf
4,9.95,True,HistGradientBoosting,clf
4,9.05,True,RandomForest,reg1
4,9.10,True,RandomForest,reg1
4,9.15,True,RandomForest,reg1
4,9.20,True,RandomForest,reg1
4,9.25,True,RandomForest,reg1
4,9.30,True,RandomForest,reg1
4,9.35,True,RandomForest,reg1
4,9.40,True,RandomForest,reg1
4,9.45,True,RandomForest,reg1
4,9.50,True,RandomForest,reg1
4,9.55,True,RandomForest,reg1
4,9.60,True,RandomForest,reg1
4,9.65,True,RandomForest,reg1
