target,slice_point,oversampled,clf,reg0,reg1,reg2,reg0_is_post,reg1_is_post,reg2_is_post,mae,amae
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,False,0.5906811969449551,5763.160651063312
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,True,0.5518695499385926,5840.721071895194
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,False,0.7104195822329074,5726.9799340741965
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,True,0.6716079352265448,5804.540354906078
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,False,0.5969328137983874,5763.099680364405
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,True,0.558121166792025,5840.660101196286
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,False,0.7166711990863397,5726.9189633752885
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,True,0.6778595520799772,5804.47938420717
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,False,0.5892389448200623,5756.210677535319
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,True,0.5506178072062705,5834.032413236647
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,False,0.7088910437797191,5719.764153293564
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,True,0.6702699061659273,5797.58588899489
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,False,0.5954876358894384,5756.1474378273715
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,True,0.5568664982756467,5833.969173528701
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,False,0.7151397348490952,5719.700913585616
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,True,0.6765185972353034,5797.522649286944
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,False,False,False,0.5995082009192162,5776.558230391356
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,False,False,True,0.5605965563876468,5854.38788274964
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,False,True,False,0.7213134795292498,5739.807885480731
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,False,True,True,0.6824018349976803,5817.637537839013
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,True,False,False,0.6055399612480299,5776.488013784245
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,True,False,True,0.5666283167164604,5854.317666142529
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,True,True,False,0.7273452398580634,5739.7376688736185
3,1.0,False,XGB,HistGradientBoosting,HistGradientBoosting,XGB,True,True,True,0.688433595326494,5817.5673212319025
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,False,False,False,0.5906791621016871,5763.201294693909
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,False,False,True,0.5518399123353608,5840.776501340441
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,False,True,False,0.710462275315447,5727.008378617882
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,False,True,True,0.6716230255491208,5804.583585264414
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,True,False,False,0.596927854711417,5763.1405109297175
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,True,False,True,0.5580886049450906,5840.715717576248
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,True,True,False,0.7167109679251767,5726.94759485369
3,1.0,False,XGB,HistGradientBoosting,RandomForest,HistGradientBoosting,True,True,True,0.6778717181588505,5804.522801500221
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,False,False,False,0.5892369099767945,5756.251321165915
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,False,False,True,0.5505895973105525,5834.088194995343
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,False,True,False,0.7089354271401294,5719.792613062252
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,False,True,True,0.6702881144738874,5797.6294868916775
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,True,False,False,0.5954826466363645,5756.188268303911
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,True,False,True,0.5568353339701225,5834.025142133338
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,True,True,False,0.7151811637996994,5719.729560200246
3,1.0,False,XGB,HistGradientBoosting,RandomForest,RandomForest,True,True,True,0.6765338511334574,5797.566434029673
3,1.0,False,XGB,HistGradientBoosting,RandomForest,XGB,False,False,False,0.5995061660759482,5776.5988740219545
3,1.0,False,XGB,HistGradientBoosting,RandomForest,XGB,False,False,True,0.5605692855780989,5854.443269150084
3,1.0,False,XGB,HistGradientBoosting,RandomForest,XGB,False,True,False,0.7213560284244445,5739.836271627818
3,1.0,False,XGB,HistGradientBoosting,RandomForest,XGB,False,True,True,0.6824191479265953,5817.680666755948
3,1.0,False,XGB,HistGradientBoosting,RandomForest,XGB,True,False,False,0.6055349666156246,5776.528844260245
3,1.0,False,XGB,HistGradientBoosting,RandomForest,XGB,True,False,True,0.5665980861177754,5854.3732393883765
