target,slice_point,oversampled,clf,reg0,reg1,reg2,reg0_is_post,reg1_is_post,reg2_is_post,mae,amae
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,True,0.5137158615538964,6792.699853985888
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,False,0.5732838202842924,6478.938563983365
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,True,0.5631763577872312,6188.2224722980045
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,False,0.5352129406760007,7083.405041669011
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,True,0.5251054781789394,6792.688949983649
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,False,0.5846734369093354,6478.927659981127
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,True,0.5745659744122742,6188.211568295765
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,True,0.5137766680350925,6801.398817045252
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,False,0.5732652303928198,6478.73286376246
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,True,0.5632185743769547,6196.715735136462
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,False,0.5348124930048211,7083.407234888593
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,True,0.524765836988956,6801.390106262597
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,False,0.5842543993466834,6478.724152979805
1,6.0,False,RandomForest,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,True,0.5742077433308183,6196.7070243538055
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,False,False,True,0.5137289485751996,6793.0958494323595
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,False,True,False,0.5734986519082585,6475.593374087989
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,False,True,True,0.5634042764325005,6185.273277849097
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,True,False,False,0.5353356193671952,7083.40468348757
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,True,False,True,0.5252412438914372,6793.084587248679
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,True,True,False,0.5850109472244962,6475.5821119043085
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,HistGradientBoosting,True,True,True,0.5749165717487381,6185.2620156654175
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,False,False,True,0.5137864013348371,6801.789570819617
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,False,True,False,0.5735067102195265,6475.394012668103
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,False,True,True,0.563469787503406,6193.767637816471
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,True,False,False,0.5349351192093521,7083.406876702885
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,True,False,True,0.5248981964932317,6801.780501851253
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,True,True,False,0.5846185053779211,6475.384943699738
1,6.0,False,RandomForest,HistGradientBoosting,RandomForest,RandomForest,True,True,True,0.5745815826618007,6193.758568848106
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,False,True,0.5137158615538964,6792.699853985888
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,True,False,0.5732838202842924,6478.938563983365
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,False,True,True,0.5631763577872312,6188.2224722980045
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,False,False,0.5352129406760007,7083.405041669011
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,False,True,0.5251054781789394,6792.688949983649
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,True,False,0.5846734369093354,6478.927659981127
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,HistGradientBoosting,True,True,True,0.5745659744122742,6188.211568295765
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,False,True,0.5137766680350925,6801.398817045252
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,True,False,0.5732652303928198,6478.73286376246
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,False,True,True,0.5632185743769547,6196.715735136462
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,False,False,0.5348124930048211,7083.407234888593
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,False,True,0.524765836988956,6801.390106262597
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,True,False,0.5842543993466834,6478.724152979805
1,6.0,False,RandomForest,RandomForest,HistGradientBoosting,RandomForest,True,True,True,0.5742077433308183,6196.7070243538055
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,False,True,0.5137289485751996,6793.0958494323595
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,True,False,0.5734986519082585,6475.593374087989
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,False,True,True,0.5634042764325005,6185.273277849097
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,False,False,0.5353356193671952,7083.40468348757
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,False,True,0.5252412438914372,6793.084587248679
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,True,False,0.5850109472244962,6475.5821119043085
1,6.0,False,RandomForest,RandomForest,RandomForest,HistGradientBoosting,True,True,True,0.5749165717487381,6185.2620156654175
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,False,False,True,0.5137864013348371,6801.789570819617
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,False,True,False,0.5735067102195265,6475.394012668103
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,False,True,True,0.563469787503406,6193.767637816471
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,True,False,False,0.5349351192093521,7083.406876702885
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,True,False,True,0.5248981964932317,6801.780501851253
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,True,True,False,0.5846185053779211,6475.384943699738
1,6.0,False,RandomForest,RandomForest,RandomForest,RandomForest,True,True,True,0.5745815826618007,6193.758568848106
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,False,True,0.49401347451814615,5559.133707946575
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,False,0.5195802772604196,6852.526923949106
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,False,True,True,0.48977042772760804,5328.244686224431
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,False,0.5246459352485945,7083.411484858121
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,False,True,0.4948360857157829,5559.1292471334455
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,False,0.5204028884580565,6852.522463135977
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,True,True,True,0.4905930389252449,5328.240225411301
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,True,0.49419099461652977,5575.403663676872
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,False,0.5199668387898446,6852.0448419730055
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,True,0.4903345093554167,5344.032559978628
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,False,0.5246426923221991,7083.41150842668
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,True,0.4950103628877711,5575.3992264323015
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,False,0.5207862070610861,6852.040404728435
1,6.0,False,HistGradientBoosting,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,True,0.49115387762665824,5344.0281227340565
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,False,False,False,0.5238233240509577,7083.41594567125
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,False,False,True,0.4939774696142852,5558.296273266689
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,False,True,False,0.519783242641265,6852.824522208233
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,False,True,True,0.48993738820459243,5327.704849803672
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,True,False,False,0.5247223220433576,7083.413640009264
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,True,False,True,0.49487646760668513,5558.2939676047035
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,True,True,False,0.520682240633665,6852.822216546248
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,HistGradientBoosting,True,True,True,0.4908363861969925,5327.702544141687
1,6.0,False,HistGradientBoosting,HistGradientBoosting,RandomForest,RandomForest,False,False,False,0.5238233240509577,7083.41594567125
