target,slice_point,oversampled,clf,reg1,reg2,reg0_is_post,reg1_is_post,reg2_is_post,mae,amae
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,False,False,False,1.3991769547430353,3992.7095641738656
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,False,False,True,1.3428082326258077,4052.7551381287813
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,False,True,False,1.4292884767386482,3992.6746251646014
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,False,True,True,1.3729197546214202,4052.720199119517
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,True,False,False,1.3995706112605704,3992.709557750708
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,True,False,True,1.3432018891433428,4052.7551317056245
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,True,True,False,1.429682133256183,3992.6746187414433
2,0.25,False,RandomForest,RandomForest,HistGradientBoosting,True,True,True,1.3733134111389553,4052.72019269636
